freq_ant1_spectral_entropy,freq_ant1_spectral_centroid,freq_ant2_spectral_entropy,freq_ant2_spectral_centroid,antenna_correlation,mag4_1,mag5_1,mag6_1,mag7_1,mag8_1,mag9_1,mag10_1,mag11_1,mag12_1,mag13_1,mag14_1,mag16_1,mag17_1,mag21_1,mag22_1,mag23_1,mag24_1,mag25_1,mag26_1,mag38_1,mag39_1,mag50_1,mag51_1,mag57_1,mag9_2,mag14_2,mag15_2,mag23_2,mag24_2,mag25_2,mag26_2,mag38_2,mag39_2,mag40_2,mag41_2,mag42_2,mag43_2,mag49_2,mag50_2,mag51_2,mag52_2,mag53_2,mag54_2,rssi1,rssi2,position
3.313289195441683,23.89389297854186,3.563851432927241,24.91393802710913,0.7914385450522633,12.649110640673518,11.0,13.038404810405298,12.041594578792296,15.132745950421556,17.029386365926403,15.524174696260024,15.297058540778355,14.317821063276352,14.142135623730953,14.317821063276352,12.36931687685298,14.0,9.055385138137416,13.038404810405298,8.0,11.180339887498947,13.92838827718412,9.486832980505138,5.830951894845301,6.0,8.54400374531753,7.280109889280518,9.219544457292889,16.401219466856727,7.810249675906654,12.36931687685298,7.071067811865476,6.708203932499369,5.0990195135927845,2.8284271247461903,6.708203932499369,9.899494936611664,8.246211251235321,7.211102550927978,7.211102550927978,7.810249675906654,12.806248474865695,8.94427190999916,5.830951894845301,5.385164807134504,6.4031242374328485,9.433981132056603,-85,-85,9
3.2021044960074527,23.2299032722627,3.246050673763199,23.0265735629501,0.9040560824557136,17.029386365926403,17.029386365926403,17.804493814764857,17.029386365926403,18.43908891458577,18.43908891458577,18.43908891458577,17.69180601295413,17.69180601295413,18.43908891458577,18.43908891458577,17.804493814764857,16.401219466856727,14.422205101855956,13.601470508735444,14.422205101855956,14.422205101855956,14.7648230602334,13.41640786499874,5.830951894845301,5.830951894845301,11.180339887498947,11.180339887498947,12.206555615733702,14.142135623730953,13.038404810405298,13.038404810405298,11.0,11.0,10.04987562112089,9.055385138137416,8.246211251235321,8.246211251235321,9.219544457292889,9.055385138137416,9.0,10.0,13.152946437965904,13.152946437965904,14.142135623730953,13.152946437965904,14.142135623730953,14.142135623730953,-67,-68,4
3.2454079182176163,23.21374748285606,3.149344182412814,22.73336444244772,0.8919486872546174,13.601470508735444,13.038404810405298,12.806248474865695,12.806248474865695,12.727922061357855,12.727922061357855,13.45362404707371,12.727922061357855,12.727922061357855,14.142135623730953,13.45362404707371,9.899494936611664,10.816653826391969,9.899494936611664,9.219544457292889,8.48528137423857,9.899494936611664,10.0,8.06225774829855,14.866068747318506,13.45362404707371,17.204650534085253,18.35755975068582,15.811388300841896,15.811388300841896,15.0,14.212670403551895,9.899494936611664,9.899494936611664,9.219544457292889,8.48528137423857,9.219544457292889,8.602325267042627,8.48528137423857,9.899494936611664,7.810249675906654,9.219544457292889,14.212670403551895,14.866068747318506,14.212670403551895,13.45362404707371,14.142135623730953,14.866068747318506,-73,-75,1
3.200095104926733,24.0826948725936,3.198418273680798,22.936091279657724,0.7497754038570988,17.72004514666935,18.027756377319943,18.027756377319943,18.97366596101028,18.68154169226941,19.6468827043885,19.92485884517128,19.6468827043885,21.18962010041709,20.8806130178211,19.92485884517128,17.72004514666935,18.97366596101028,15.811388300841896,15.811388300841896,14.317821063276352,15.811388300841896,14.7648230602334,13.41640786499874,3.0,3.0,4.47213595499958,6.4031242374328485,9.486832980505138,15.811388300841896,14.7648230602334,13.41640786499874,10.44030650891055,10.198039027185567,11.180339887498947,10.04987562112089,7.615773105863909,8.94427190999916,8.54400374531753,8.54400374531753,8.06225774829855,9.486832980505138,13.601470508735444,14.317821063276352,15.524174696260024,14.866068747318506,16.15549442140351,16.15549442140351,-74,-73,0
3.2927424629444757,23.601175319420967,3.395352428548361,24.097414474601685,0.9132767917110916,10.63014581273465,10.63014581273465,12.727922061357855,11.40175425099138,13.601470508735444,11.6619037896906,11.6619037896906,12.529964086141668,10.198039027185567,15.231546211727816,12.083045973594572,9.219544457292889,9.219544457292889,10.770329614269007,13.41640786499874,17.0,14.560219778561036,14.317821063276352,14.0356688476182,13.41640786499874,14.317821063276352,19.209372712298546,19.72308292331602,15.0,10.44030650891055,13.341664064126334,11.180339887498947,20.248456731316587,15.811388300841896,11.31370849898476,15.0,15.811388300841896,15.297058540778355,18.867962264113206,17.46424919657298,17.08800749063506,15.297058540778355,17.46424919657298,15.652475842498529,19.209372712298546,14.317821063276352,14.212670403551895,13.45362404707371,-81,-83,7
3.2382802392577203,23.07142189755741,3.181433122893913,23.18464988877704,0.7805874873139147,13.341664064126334,13.341664064126334,15.033296378372908,13.152946437965904,14.142135623730953,15.033296378372908,14.0356688476182,16.0,13.038404810405298,13.038404810405298,11.180339887498947,11.704699910719626,11.704699910719626,13.152946437965904,12.16552506059644,11.0,12.041594578792296,10.44030650891055,10.770329614269007,9.219544457292889,9.219544457292889,18.027756377319943,19.1049731745428,18.867962264113206,18.0,21.0,18.027756377319943,13.0,13.0,8.602325267042627,2.23606797749979,9.433981132056603,8.94427190999916,11.31370849898476,13.601470508735444,11.31370849898476,13.601470508735444,9.219544457292889,13.038404810405298,11.40175425099138,9.433981132056603,11.31370849898476,9.848857801796104,-82,-84,9
3.2538007920902103,24.038383685428258,3.2841653495510923,23.72138727810778,0.551227495676316,13.152946437965904,11.04536101718726,10.198039027185567,8.54400374531753,8.06225774829855,8.06225774829855,7.615773105863909,8.54400374531753,7.810249675906654,7.071067811865476,6.4031242374328485,7.810249675906654,7.615773105863909,3.1622776601683795,1.0,2.23606797749979,1.0,3.0,2.0,8.602325267042627,10.0,17.029386365926403,18.110770276274835,18.110770276274835,18.24828759089466,14.142135623730953,16.278820596099706,12.649110640673518,13.0,12.649110640673518,9.433981132056603,5.0,3.605551275463989,3.0,5.656854249492381,3.605551275463989,3.1622776601683795,12.16552506059644,11.40175425099138,14.317821063276352,13.601470508735444,13.92838827718412,13.92838827718412,-80,-81,8
3.361274642454068,24.652941762847483,3.558798988654555,26.45103469423395,0.7483262493470911,13.41640786499874,13.0,13.341664064126334,14.317821063276352,16.55294535724685,17.88854381999832,17.4928556845359,16.64331697709324,15.264337522473747,17.029386365926403,16.401219466856727,16.97056274847714,15.556349186104043,17.0,16.401219466856727,18.601075237738275,16.401219466856727,18.867962264113206,17.804493814764857,9.219544457292889,11.0,4.123105625617661,5.385164807134504,5.656854249492381,25.942243542145693,12.529964086141668,5.0,13.41640786499874,13.0,19.72308292331602,17.88854381999832,9.055385138137416,13.152946437965904,11.180339887498947,12.16552506059644,4.123105625617661,4.123105625617661,2.23606797749979,3.1622776601683795,3.1622776601683795,3.1622776601683795,5.830951894845301,1.0,-83,-90,6
3.2071419213616674,23.587216955459013,3.24147722935074,23.280831974144267,0.6928869005187032,14.0356688476182,12.041594578792296,11.180339887498947,11.0,10.04987562112089,10.44030650891055,9.055385138137416,10.0,8.246211251235321,8.0,7.071067811865476,7.071067811865476,7.071067811865476,6.324555320336759,6.708203932499369,5.830951894845301,6.4031242374328485,6.4031242374328485,5.0,13.152946437965904,14.142135623730953,20.615528128088304,19.235384061671343,17.72004514666935,17.0,15.231546211727816,14.317821063276352,7.211102550927978,9.219544457292889,7.211102550927978,7.071067811865476,3.605551275463989,5.385164807134504,5.656854249492381,6.324555320336759,5.830951894845301,6.4031242374328485,13.45362404707371,13.45362404707371,14.866068747318506,14.212670403551895,14.142135623730953,13.45362404707371,-81,-80,8
3.2310161848609518,23.03234399874226,3.176702607289411,22.787971469496966,0.9674025771225,15.811388300841896,15.264337522473747,14.422205101855956,13.892443989449804,14.422205101855956,14.422205101855956,15.264337522473747,15.0,14.422205101855956,15.0,15.264337522473747,11.6619037896906,12.529964086141668,9.848857801796104,8.94427190999916,8.54400374531753,8.54400374531753,9.486832980505138,8.246211251235321,9.219544457292889,8.48528137423857,13.038404810405298,13.038404810405298,14.212670403551895,14.560219778561036,15.811388300841896,15.811388300841896,11.04536101718726,11.04536101718726,11.04536101718726,10.0,7.280109889280518,7.071067811865476,7.071067811865476,8.06225774829855,8.06225774829855,8.0,13.0,12.0,13.0,13.0,13.038404810405298,12.0,-76,-73,0
