pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,position
5.832684851094315,-11.374840611313644,-2.8417233025757995,2.9107011094487247,2.7109417272868557,1.6382335179435765,1.229941624987484,0.4552000759572812,-0.1446706179086406,-1.2805522723077691,-0.30049219027129165,0.47204381590775235,-0.048356731187723746,-0.5088281882200069,0.3570282010001242,2
-7.765681685761763,4.362062586708031,1.4904136848829803,-5.148334839298334,-2.6157723054573103,-9.673153499307517,0.009731679174601373,-1.9598557847592324,0.4373528294164734,0.7938764155859216,-0.05538583040668556,1.532273778817059,0.6416738078600384,-1.571801415573552,0.13910609561334583,0
-11.684330781778797,-4.415507637915307,-4.668922218351674,-3.2781875418162345,-2.890380086175191,-3.1978023867920085,-0.08934767055162025,1.6578865440646446,0.4660597694168239,-3.5009074845340833,2.9622661759063567,-0.5606760158573435,-0.3629099292091675,0.12436908209259104,-1.4045955271803428,7
1.876218438747195,-8.996106685609407,-4.513654287825924,2.6627872032268676,2.0427690626337243,0.3179070772804326,-3.9810981865717725,-3.3026640020476177,2.2074555806267386,-3.403342776288576,5.459591152884902,-0.44330712197078703,-0.0997408466189346,1.3941934077589544,0.30812092502727495,6
12.765830123897967,5.130839389170784,-1.8256845729251183,-2.1908176591162327,2.55740504030317,-1.1841306398717537,1.2227402123031519,-0.6684469891640923,-0.6017481428618188,1.7927876401528624,-2.165130167226408,-1.51404845852043,-0.19770854672993685,-0.6396807258944903,-1.2128337599238406,7
1.4579299002431796,-0.5196764140255367,-7.04341538605056,11.076580321125764,0.5067630943985795,1.0793957192716692,0.5862098077260789,0.3616486579798758,0.23121871139264016,-0.5487814267700905,0.10501657492277604,-1.2996824946708594,0.38898156791511457,-0.29542224368443676,-1.3235753888891917,9
9.920331075108109,-5.103450374318028,5.720846412929264,-2.695937795342146,0.14614103883034568,-0.4410032671358797,-0.20945093151188984,-1.2417285202910808,3.2555136033596943,1.5501646818520154,-1.6654123560581644,-1.0865629341594556,0.39164550838363216,0.9320930795318075,-0.8354422532357043,9
-8.487375230430636,3.5114848887418493,2.730608600025182,4.564655445925668,-1.1493819669820127,-2.224872683146965,-3.668185338501739,0.2739362545003036,-4.721049609690746,1.135590078427834,-6.82800195609325,-0.5186139199951664,-3.290310121662527,3.251555099603297,1.4219885757226147,6
4.602897783258378,-3.9204547398518343,-11.561770869479664,5.8040247747299025,-1.3324084362363111,-0.30090897497859465,1.2395716398510332,-2.1084348269522977,1.251966726418982,1.8968502848162088,0.3260991890955607,-0.8652736293419848,-0.6381704238018807,0.626133233141985,0.34872374330741995,1
6.826627854844681,10.888549458358561,-2.5057716689144067,-2.5488191515126246,-2.134577618589624,0.9657677948490896,-1.2985716986090972,-2.720845470422569,0.9869103145308611,1.796634696772981,-0.2988987282180426,1.0775100691684398,4.609903944441903,-0.6943167732474448,-3.2780462053756017,0
